fiction1,classics3,cartoons5,legends6,philosophy7,religion8,psychology9,linguistics10,art12,music14,facsimile17,history19,conthist20,economy21,politics22,science23,compsci26,railroads27,maps30,travelguides31,health35,cooking36,learning37,GamesRiddles38,sports39,hobby40,nature41,encyclopaedia44,videos50,nonbooks99
3,1,0,0,0,1,0,1,1,3,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1
0,0,1,0,3,4,0,0,0,2,1,1,9,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,1,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,3,0,1,0,1,1,2,0,10,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,2,0,0
1,1,0,0,1,0,0,0,1,0,0,4,3,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1
0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,1
2,0,2,0,0,0,0,3,0,6,0,4,3,0,0,0,2,0,0,3,5,0,2,0,0,0,0,1,1,0
1,0,0,1,1,2,0,3,0,1,0,7,0,0,0,3,0,0,0,3,4,0,3,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,1,0,2,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,3,0,2,13,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,3,156,0,0,2,0,0,1,3,0,1,1,1,0,1,0,0,3,0,0,13,0
8,1,2,2,0,1,0,0,1,1,0,5,2,0,0,3,0,0,7,4,2,1,0,1,0,5,2,1,0,1
0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,0,1,0
7,0,3,0,0,4,0,1,1,2,0,10,1,0,0,1,0,0,0,1,14,0,3,2,0,1,3,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0,0,0,0,2,11,1,0,2,27,0,6,1,0,0,1,0,0,0,4,28,3,1,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,9,0,0,35,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1
0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0
5,0,0,0,0,1,0,2,2,14,0,7,2,1,0,1,2,0,0,3,0,3,5,0,0,3,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,0,4,0,1,16,0,1,1,0,0,8,13,0,2,4,0,0,1,12,15,9,8,0,0,2,4,1,0,4
0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,0,1,0,1,1,0,0,6,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,1
2,0,0,0,1,0,0,2,4,18,0,5,1,0,0,5,0,0,2,0,0,0,1,0,0,2,0,8,0,0
4,2,3,1,1,5,0,0,1,0,0,13,16,1,0,1,0,1,0,6,5,5,2,0,0,2,0,1,0,0
1,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,0,1,0,1,0,4,0,4,8,0,0,0,1,1,0,8,4,0,0,0,0,2,0,1,2,0
0,0,0,0,0,0,0,1,1,3,0,15,1,1,0,3,3,0,0,7,2,0,1,0,0,3,3,0,0,0
3,2,1,0,0,1,0,0,13,3,0,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,9,6,2,1,0,0,3,1,1,0,0
0,0,0,0,0,1,0,0,0,0,0,25,17,0,0,1,0,3,0,8,4,0,0,0,0,8,0,0,0,0
0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2,2,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0
0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,3,2,0,5,3,0,0,1,2,0,18,13,2,1,12,0,0,0,11,9,0,2,0,0,2,2,5,0,1
0,0,0,0,0,1,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,2,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,2,1,1,1,0,1,0,3,0,8,3,0,0,2,3,0,0,4,4,11,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,5,0,1,1,1,0,2,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,4,0,0,0,0,0,4,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,3,0,2,0,7,4,2,0,1,0,1,0,14,3,2,2,0,0,10,5,1,0,0
0,1,0,0,1,1,1,1,2,7,0,25,4,1,0,2,0,0,0,5,5,0,2,0,0,4,1,0,0,0
1,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0
0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,1,7,1,0,3,1,0,8,1,0,0,2,1,0,0,4,0,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,1,3,2,4,1,0,0,0,0,0,0,3,1,2,0,0,0,2,0,0,2,0
0,0,0,0,0,0,0,0,0,3,0,20,12,0,0,0,0,0,0,0,8,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,2,1,1,0,4,1,0,2,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,14,13,0,1,3,5,0,18,0,0,0,1,1,0,0,16,62,0,7,0,0,13,3,3,0,0
6,10,1,1,3,1,0,0,0,0,0,5,1,0,0,0,0,0,0,2,4,0,1,0,0,5,2,1,0,0
0,1,0,0,0,0,0,0,1,0,2,10,26,0,0,0,0,1,0,69,2,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,6,1,1,1,0,0,1,0,1,0,2
0,1,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,1,4,1,0,0,0,1,0,1,0,0
2,1,1,0,1,1,0,0,0,1,0,17,9,0,0,0,0,0,0,4,2,0,2,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,1,9,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,2,0,3,0,0,0,1,0,2,12,0,1,1,0,4,0,2,12,0,0,0,0,1,0,0,2,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,36,59,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,18,0,0,3,0,0,16,6,0,0,2,0,4,0,1,9,0,0,2,0,4,0,1,0,4
1,0,0,0,0,1,0,0,0,2,0,28,53,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,3,0,1,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
0,0,1,0,1,1,0,2,2,3,0,4,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,2,0,0
1,1,0,1,1,1,0,0,0,2,0,6,5,1,0,1,0,0,0,3,4,1,5,0,0,0,0,2,4,0
1,3,1,0,1,1,0,0,0,1,0,24,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0
0,0,0,2,0,2,0,1,0,7,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,5,0,0,2,3,0,8,7,0,0,0,0,1,0,7,4,1,2,0,0,2,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,1,11,0,1,10,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
2,1,0,0,0,0,0,0,1,11,0,8,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,5,0,3,7,1,0,2,1,1,0,2,8,0,0,0,0,1,3,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,1
2,1,0,0,0,1,0,0,1,8,0,5,123,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,3,1,2,0,3,2,3,0,12,0,14,16,2,0,0,0,2,0,5,4,0,0,0,0,1,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,1,0,8,13,0,0,0,0,0,0,3,4,0,1,0,0,1,2,1,1,0
0,0,0,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,12,0,0,1,0,0,56,20,0,0,2,0,0,0,2,1,0,0,0,0,2,0,1,0,0
3,1,0,3,2,2,0,1,12,16,0,16,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,3
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,4,3,0,3,0,0,0,1,0,0,0,1,0,20,0,2,0,4,3,0,0,2
6,1,1,0,0,1,0,0,4,0,0,11,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,4,0,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,0,0,1,0,0,0,1,1,2,1,5,0,0,0,0,0,0,0,9,12,1,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,1,1,0,2,0,0,3,0,10,20,4,0,0,0,1,0,0,0,5,3,0,0,0,4,0,1,0,7
0,0,0,0,0,0,0,0,0,17,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0
5,2,16,1,2,62,1,4,6,29,0,41,129,2,0,6,0,4,5,98,46,3,13,0,0,10,10,5,0,8
2,0,1,1,0,1,0,1,1,0,0,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,3,2,1,1,1,0,1,0,0,0,6,3,0,0,0,3,0,1,11,17,6,1,0,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,5,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,2,0,2,0,3,1,6,0,5,16,0,0,0,0,2,1,4,0,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,16,20,0,0,0,0,1,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,0,0,5,0,0,0,12,0,0,3,0,0,1,0,0,0,2,4,1,0,0,0,0,1,0,0,3
2,0,2,1,0,2,0,0,2,15,0,8,3,0,0,0,0,3,0,11,0,1,0,0,0,2,0,0,0,0
2,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0
1,1,0,0,0,4,0,1,3,1,0,25,31,1,0,8,0,0,0,2,9,1,0,0,0,0,10,2,0,0
0,1,2,0,0,2,0,0,1,0,1,22,3,1,0,0,0,0,0,11,0,2,0,0,0,9,3,3,0,0
1,0,1,3,3,19,0,4,5,2,4,29,18,0,0,1,0,0,1,4,3,2,1,0,0,1,2,14,3,0
2,2,3,10,3,22,0,1,2,7,0,19,3,0,0,3,0,0,0,0,7,0,0,0,0,0,1,2,2,0
1,3,0,0,1,4,0,0,2,2,0,7,8,0,0,1,0,0,0,5,1,0,1,0,0,0,0,2,0,1
6,1,6,0,0,16,0,0,0,7,1,32,38,0,0,1,1,0,1,3,1,0,0,0,0,4,1,1,2,1
1,0,0,0,0,0,0,0,2,6,0,2,2,0,0,0,0,0,0,3,12,1,0,0,0,0,1,0,0,0
2,0,1,1,0,0,0,0,0,3,0,8,2,0,0,1,0,1,0,7,4,0,0,0,0,4,3,3,3,1
1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0,11,0,3,0,0,0,4,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,1,20,0,13,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,4,4,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,6,0,0,2,0,0,0,0,22,1,2,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,0
0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,4,0,0,0,0,12,0,0,0,0,2,1,0,0,0
0,0,1,0,0,0,0,0,0,2,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,1
0,2,0,2,2,18,1,1,0,0,1,4,0,1,0,5,1,0,0,1,6,0,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,22,26,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0
